Index,Cycle,Step,StepSeq,Mode,TestTime_s,StepTime_s,Voltage_V,Current_mA,Capacity_mAh,Energy_mWh,DateTime
84,1,3,3,CC_Chg,4835.55,2400,1.58642,0.03968,0.0264932,0.0396063,2026-07-16 05:41:22.550
85,1,3,3,CC_Chg,4895.55,2460,1.58922,0.03968,0.0271562,0.0406592,2026-07-16 05:42:22.550
86,1,3,3,CC_Chg,4955.55,2520,1.5917,0.03968,0.0278187,0.041713,2026-07-16 05:43:22.550
87,1,3,3,CC_Chg,5015.55,2580,1.59433,0.03968,0.028481,0.0427682,2026-07-16 05:44:22.550
88,1,3,3,CC_Chg,5075.55,2640,1.59696,0.03968,0.0291434,0.0438251,2026-07-16 05:45:22.550
89,1,3,3,CC_Chg,5135.55,2700,1.59945,0.03968,0.0298058,0.0448837,2026-07-16 05:46:22.550
90,1,3,3,CC_Chg,5195.55,2760,1.60224,0.03968,0.0304681,0.0459439,2026-07-16 05:47:22.550
91,1,3,3,CC_Chg,5255.55,2820,1.60642,0.03968,0.0311303,0.0470064,2026-07-16 05:48:22.550
92,1,3,3,CC_Chg,5315.55,2880,1.61169,0.03968,0.0317929,0.0480726,2026-07-16 05:49:22.550
93,1,3,3,CC_Chg,5375.55,2940,1.61944,0.03968,0.0324556,0.0491433,2026-07-16 05:50:22.550
94,1,3,3,CC_Chg,5435.55,3000,1.62905,0.03968,0.0331182,0.0502195,2026-07-16 05:51:22.550
95,1,3,3,CC_Chg,5495.55,3060,1.64068,0.03968,0.0337806,0.0513023,2026-07-16 05:52:22.550
96,1,3,3,CC_Chg,5555.55,3120,1.65369,0.03968,0.034443,0.0523935,2026-07-16 05:53:22.550
97,1,3,3,CC_Chg,5615.55,3180,1.6678,0.03968,0.0351052,0.0534932,2026-07-16 05:54:22.550
98,1,3,3,CC_Chg,5675.55,3240,1.68082,0.03968,0.0357676,0.0546024,2026-07-16 05:55:22.550
99,1,3,3,CC_Chg,5735.55,3300,1.6926,0.03968,0.0364301,0.05572,2026-07-16 05:56:22.550
100,1,3,3,CC_Chg,5795.55,3360,1.70298,0.03968,0.0370928,0.0568451,2026-07-16 05:57:22.550
101,1,3,3,CC_Chg,5855.55,3420,1.71198,0.03968,0.0377554,0.0579765,2026-07-16 05:58:22.550
102,1,3,3,CC_Chg,5915.55,3480,1.72066,0.03968,0.0384177,0.0591133,2026-07-16 05:59:22.550
103,1,3,3,CC_Chg,5975.55,3540,1.72887,0.03999,0.0390803,0.0602562,2026-07-16 06:00:22.550
104,1,3,3,CC_Chg,6035.55,3600,1.73615,0.03968,0.0397426,0.0614038,2026-07-16 06:01:22.550
105,1,3,3,CC_Chg,6095.55,3660,1.74313,0.03968,0.0404049,0.062556,2026-07-16 06:02:22.550
106,1,3,3,CC_Chg,6155.55,3720,1.74964,0.03999,0.0410676,0.0637133,2026-07-16 06:03:22.550
107,1,3,3,CC_Chg,6215.55,3780,1.75537,0.03968,0.0417299,0.0648742,2026-07-16 06:04:22.550
108,1,3,3,CC_Chg,6275.55,3840,1.76127,0.03999,0.0423924,0.066039,2026-07-16 06:05:22.550
109,1,3,3,CC_Chg,6335.55,3900,1.76638,0.03968,0.0430546,0.0672071,2026-07-16 06:06:22.550
110,1,3,3,CC_Chg,6395.55,3960,1.7715,0.03968,0.0437169,0.0683787,2026-07-16 06:07:22.550
111,1,3,3,CC_Chg,6455.55,4020,1.77584,0.03968,0.0443793,0.0695538,2026-07-16 06:08:22.550
112,1,3,3,CC_Chg,6515.55,4080,1.77987,0.03968,0.0450416,0.0707315,2026-07-16 06:09:22.550
113,1,3,3,CC_Chg,6575.55,4140,1.7839,0.03999,0.0457039,0.0719117,2026-07-16 06:10:22.550
114,1,3,3,CC_Chg,6635.55,4200,1.78839,0.03968,0.0463663,0.073095,2026-07-16 06:11:22.550
115,1,3,3,CC_Chg,6695.55,4260,1.79211,0.03999,0.0470284,0.0742803,2026-07-16 06:12:22.550
116,1,3,3,CC_Chg,6755.55,4320,1.79521,0.03968,0.0476904,0.0754679,2026-07-16 06:13:22.550
117,1,3,3,CC_Chg,6815.55,4380,1.79815,0.03999,0.0483529,0.0766582,2026-07-16 06:14:22.550
118,1,3,3,CC_Chg,6849.61,4414.06,1.80001,0.03968,0.0487292,0.0773353,2026-07-16 06:14:56.610
119,2,2,4,CC_DChg,6849.68,0,1.75181,-0.03999,0,0,2026-07-16 06:14:56.680
120,2,2,4,CC_DChg,6909.68,60,1.67477,-0.03968,0.000663418,0.00113138,2026-07-16 06:15:56.680
121,2,2,4,CC_DChg,6969.68,120,1.62921,-0.03968,0.0013254,0.00222449,2026-07-16 06:16:56.680
122,2,2,4,CC_DChg,7029.68,180,1.59247,-0.03968,0.00198762,0.00329096,2026-07-16 06:17:56.680
123,2,2,4,CC_DChg,7089.68,240,1.561,-0.03968,0.00264961,0.00433456,2026-07-16 06:18:56.680
124,2,2,4,CC_DChg,7149.68,300,1.53481,-0.03968,0.00331167,0.00535928,2026-07-16 06:19:56.680
125,2,2,4,CC_DChg,7209.68,360,1.51202,-0.03968,0.00397343,0.00636732,2026-07-16 06:20:56.680
126,2,2,4,CC_DChg,7269.68,420,1.49249,-0.03968,0.00463527,0.00736154,2026-07-16 06:21:56.680
127,2,2,4,CC_DChg,7329.68,480,1.4756,-0.03968,0.00529702,0.00834354,2026-07-16 06:22:56.680
128,2,2,4,CC_DChg,7389.68,540,1.46026,-0.03968,0.00595886,0.00931503,2026-07-16 06:23:56.680
129,2,2,4,CC_DChg,7449.68,600,1.44708,-0.03968,0.00662092,0.0102774,2026-07-16 06:24:56.680
130,2,2,4,CC_DChg,7509.68,660,1.43576,-0.03968,0.00728289,0.0112315,2026-07-16 06:25:56.680
131,2,2,4,CC_DChg,7569.68,720,1.42647,-0.03968,0.00794509,0.0121791,2026-07-16 06:26:56.680
132,2,2,4,CC_DChg,7629.68,780,1.42027,-0.03999,0.00860751,0.0131221,2026-07-16 06:27:56.680
133,2,2,4,CC_DChg,7689.68,840,1.41531,-0.03968,0.00926994,0.0140613,2026-07-16 06:28:56.680
134,2,2,4,CC_DChg,7749.68,900,1.41097,-0.03968,0.00993221,0.0149973,2026-07-16 06:29:56.680
135,2,2,4,CC_DChg,7809.68,960,1.40678,-0.03968,0.0105946,0.0159306,2026-07-16 06:30:56.680
136,2,2,4,CC_DChg,7869.68,1020,1.40291,-0.03999,0.0112569,0.0168612,2026-07-16 06:31:56.680
137,2,2,4,CC_DChg,7929.68,1080,1.3998,-0.03968,0.0119195,0.0177898,2026-07-16 06:32:56.680
138,2,2,4,CC_DChg,7989.68,1140,1.39624,-0.03968,0.0125819,0.0187158,2026-07-16 06:33:56.680
139,2,2,4,CC_DChg,8049.68,1200,1.39268,-0.03968,0.0132444,0.0196396,2026-07-16 06:34:56.680
140,2,2,4,CC_DChg,8109.68,1260,1.38926,-0.03968,0.0139071,0.0205615,2026-07-16 06:35:56.680
141,2,2,4,CC_DChg,8169.68,1320,1.38555,-0.03968,0.0145695,0.0214805,2026-07-16 06:36:56.680
142,2,2,4,CC_DChg,8229.68,1380,1.38167,-0.03968,0.0152319,0.0223972,2026-07-16 06:37:56.680
143,2,2,4,CC_DChg,8289.68,1440,1.37702,-0.03968,0.0158939,0.0233105,2026-07-16 06:38:56.680
144,2,2,4,CC_DChg,8349.68,1500,1.37206,-0.03968,0.0165564,0.0242211,2026-07-16 06:39:56.680
145,2,2,4,CC_DChg,8409.68,1560,1.36586,-0.03999,0.0172184,0.0251275,2026-07-16 06:40:56.680
146,2,2,4,CC_DChg,8469.68,1620,1.35888,-0.03968,0.0178809,0.0260302,2026-07-16 06:41:56.680
147,2,2,4,CC_DChg,8529.68,1680,1.35036,-0.03999,0.018543,0.0269272,2026-07-16 06:42:56.680
148,2,2,4,CC_DChg,8589.68,1740,1.34044,-0.03968,0.0192056,0.0278188,2026-07-16 06:43:56.680
149,2,2,4,CC_DChg,8649.68,1800,1.3282,-0.03968,0.019868,0.0287028,2026-07-16 06:44:56.680
150,2,2,4,CC_DChg,8709.68,1860,1.31394,-0.03999,0.0205301,0.0295776,2026-07-16 06:45:56.680
